[[-0.004902441581234873, 0.034505428646404816, -1.3800558128457383, -0.06938484811137192, -0.030730565342367684, -0.0002080096530196579]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.0013066379915046165, 0.025083745646277363, -1.3617671581678883, -0.05696245510619857, -0.022930056733540073, -9.536587731788615e-05]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.00228916559822564, 0.01566206264614991, -1.3434785034900383, -0.044540062101025214, -0.015129548124712462, 1.72778983838856e-05]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.005884969187955898, 0.006240379646022455, -1.325189848812188, -0.032117669095851856, -0.007329039515884851, 0.00012992167408565735]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.009480772777686153, -0.0031813033541049987, -1.306901194134338, -0.019695276090678504, 0.0004714690929427598, 0.0002425654497874291]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.01307657636741641, -0.012602986354232449, -1.288612539456488, -0.007272883085505156, 0.008271977701770374, 0.0003552092254892008]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.012283227022040807, -0.018526305574129733, -1.2612865550976897, 0.0004277196659193483, 0.008447555108717, 0.00029598024395535434]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.011489877676665206, -0.024449624794027014, -1.2339605707388914, 0.008128322417343853, 0.008623132515663625, 0.00023675126242150792]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.010696528331289604, -0.030372944013924298, -1.2066345863800931, 0.015828925168768358, 0.008798709922610252, 0.00017752228088766144]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.009903178985914002, -0.03629626323382158, -1.1793086020212948, 0.02352952792019286, 0.008974287329556878, 0.00011829329935381498]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.0091098296405384, -0.04221958245371887, -1.1519826176624965, 0.031230130671617368, 0.009149864736503503, 5.906431781996853e-05]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.005160121575696269, -0.036961018389732536, -1.1358995364632751, 0.02168865304084581, 0.002377707642579608, -0.00040613323413114474]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[0.0012104135108541372, -0.0317024543257462, -1.119816455264054, 0.012147175410074255, -0.0043944494513442865, -0.000871330786082258]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.002739294553987994, -0.02644389026175987, -1.1037333740648325, 0.0026056977793026993, -0.011166606545268182, -0.0013365283380333713]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.0066890026188301255, -0.021185326197773538, -1.0876502928656113, -0.006935779851468857, -0.017938763639192078, -0.0018017258899844847]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.010638710683672257, -0.015926762133787204, -1.07156721166639, -0.016477257482240416, -0.024710920733115968, -0.002266923441935598]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.01060768240549876, -0.01824320062219203, -1.0463443440377913, -0.0010986606175965603, -0.02339996346207703, -0.0021345557110040623]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.010576654127325264, -0.020559639110596856, -1.021121476409193, 0.014279936247047296, -0.022089006191038086, -0.0020021879800725265]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.010545625849151767, -0.022876077599001683, -0.9958986087805943, 0.02965853311169115, -0.020778048919999147, -0.0018698202491409907]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.010514597570978272, -0.02519251608740651, -0.9706757411519958, 0.04503712997633501, -0.019467091648960204, -0.001737452518209455]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.010483569292804775, -0.027508954575811335, -0.9454528735233974, 0.06041572684097887, -0.018156134377921265, -0.0016050847872779192]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.009874813422048795, -0.022101437313147756, -0.9219017806958769, 0.05005155663654544, -0.0179723897859482, -0.0016189650102021844]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.009266057551292813, -0.016693920050484177, -0.8983506878683565, 0.039687386432112, -0.017788645193975137, -0.0016328452331264495]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.008657301680536833, -0.011286402787820598, -0.874799595040836, 0.02932321622767856, -0.017604900602002073, -0.001646725456050715]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.00804854580978085, -0.005878885525157019, -0.8512485022133156, 0.01895904602324512, -0.01742115601002901, -0.00166060567897498]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.0074397899390248705, -0.0004713682624934393, -0.8276974093857952, 0.008594875818811689, -0.017237411418055945, -0.0016744859018992453]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.007197425728630213, 1.3065840347823592e-05, -0.8091352082090114, 0.006283694168831427, -0.016985042111079214, -0.0016054304155154419]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.006955061518235556, 0.0004974999431890865, -0.7905730070322277, 0.003972512518851166, -0.016732672804102483, -0.0015363749291316385]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.006712697307840899, 0.0009819340460303493, -0.7720108058554439, 0.0016613308688709048, -0.01648030349712575, -0.0014673194427478353]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.006470333097446242, 0.0014663681488716123, -0.7534486046786601, -0.0006498507811093564, -0.016227934190149017, -0.0013982639563640319]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.0062279688870515845, 0.0019508022517128753, -0.7348864035018764, -0.0029610324310896173, -0.015975564883172286, -0.0013292084699802285]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.006108094225676626, 0.0020790350959668286, -0.718428082872238, -0.005055919431537531, -0.015572594904424551, -0.0012809362065643128]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005988219564301668, 0.0022072679402207816, -0.7019697622425997, -0.007150806431985445, -0.015169624925676814, -0.0012326639431483972]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.00586834490292671, 0.0023355007844747346, -0.6855114416129613, -0.00924569343243336, -0.01476665494692908, -0.0011843916797324816]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005748470241551752, 0.0024637336287286877, -0.6690531209833229, -0.011340580432881274, -0.014363684968181342, -0.001136119416316566]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005628595580176794, 0.0025919664729826407, -0.6525948003536846, -0.013435467433329188, -0.013960714989433607, -0.0010878471529006503]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.0056989249624241674, 0.0025327704752295256, -0.6380167098421671, -0.014956238658920649, -0.013831699071160402, -0.001050150921561434]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005769254344671541, 0.0024735744774764105, -0.6234386193306495, -0.01647700988451211, -0.013702683152887196, -0.0010124546902222176]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005839583726918915, 0.002414378479723295, -0.608860528819132, -0.01799778111010357, -0.013573667234613992, -0.0009747584588830013]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005909913109166288, 0.00235518248197018, -0.5942824383076144, -0.01951855233569503, -0.013444651316340787, -0.0009370622275437849]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005980242491413662, 0.0022959864842170647, -0.5797043477960969, -0.02103932356128649, -0.013315635398067582, -0.0008993659962045686]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.0058581147893746, 0.0005323981066384523, -0.567543796522184, -0.021319166745401033, -0.012744373060178681, -0.0008583393896487025]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005735987087335538, -0.0012311902709401601, -0.5553832452482712, -0.02159900992951557, -0.012173110722289783, -0.0008173127830928364]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005613859385296476, -0.0029947786485187726, -0.5432226939743583, -0.021878853113630112, -0.011601848384400882, -0.0007762861765369703]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005491731683257414, -0.004758367026097385, -0.5310621427004455, -0.02215869629774465, -0.011030586046511984, -0.0007352595699811042]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.005369603981218352, -0.006521955403675997, -0.5189015914265326, -0.022438539481859192, -0.010459323708623083, -0.0006942329634252382]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.006077767517427377, -0.01269986523966345, -0.5040615192235006, -0.004172355586740249, -0.010349673589781156, -0.0007497531002938402]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.006785931053636403, -0.018877775075650905, -0.48922144702046866, 0.014093828308378693, -0.01024002347093923, -0.0008052732371624424]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.007494094589845429, -0.025055684911638357, -0.4743813748174367, 0.032360012203497636, -0.010130373352097304, -0.0008607933740310444]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
[[-0.008202258126054456, -0.031233594747625812, -0.4595413026144047, 0.05062619609861658, -0.010020723233255377, -0.0009163135108996466]]	[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]
