[[0.013408070638225227, -0.02389205004953045, 0.003695903896654429, -5.869295241624187e-05, 0.00016393424256847853, 0.0005940433730328693]]	[[0.2862932783123438, 0.36360870458739264, 0.3250211006804281, 2.897546272796883, -1.2121167272326088, 0.002149714312485702]]
[[-0.023555778670502348, -0.026115410199710355, 0.012236188943083615, 0.0007287157634176973, 0.0013348845943695624, 0.0013392685859343612]]	[[0.28629520183806917, 0.3636088979704875, 0.32502759075336496, 2.8975843547086058, -1.2120914600363124, 0.0022612175364470073]]
[[-0.028542826089721172, -0.034289361537839486, 0.02558361445745715, 0.000936135076023569, 0.0012260671000725182, 0.001349551945434496]]	[[0.28630280352771603, 0.36361196107212634, 0.3249978074701685, 2.897524315686637, -1.2121074996337622, 0.0021877716516610327]]
[[0.002087664391607529, -0.005774500638526108, 0.01225589759404774, 0.0011921366542587517, 0.0008612823969407559, 0.0009724924671898177]]	[[0.28630207865318563, 0.36361165814433155, 0.3250270933114636, 2.897602944798321, -1.2121402843145341, 0.0022599051367339323]]
[[-0.008874956951025838, -0.022552825413589675, 0.029117465440099518, 0.000998132707816569, 0.0012718254839466923, 0.001941872273745276]]	[[0.2862898757509961, 0.363614839529901, 0.32501203831316033, 2.8975867482910185, -1.2121129446534513, 0.0021483366497909518]]
[[-0.0191822198450204, -0.03728194563775288, 0.0358736462403396, 0.0010343355101214498, 0.0014582339914105615, 0.0021823331034878653]]	[[0.28631267024057205, 0.36359851264133974, 0.3250234965127643, 2.8975478046979077, -1.2121780973998826, 0.0022424364621196837]]
[[5.632284804208201e-05, -0.03192399318857765, 0.03541979628812558, 0.0014086775165531751, 0.0015741107164550544, 0.002482234842870563]]	[[0.2863035325742718, 0.36361064946011684, 0.325028273524649, 2.8976205338301204, -1.212127055680306, 0.0022033164119958943]]
[[-0.027853889012665667, -0.01996529535174753, 0.037093593564836824, 0.0018753957919705848, 0.0028521195468511782, 0.0031802136938240255]]	[[0.28630748702372943, 0.3636062532769855, 0.3250368384274616, 2.8976280265566223, -1.2121103175295167, 0.0022033645778772415]]
[[0.00014239476462810964, -0.012015952834820745, 0.037080729858002856, 0.0018726267673200546, 0.0024706075268692857, 0.0025475581736782923]]	[[0.28631377183473167, 0.36360447508252874, 0.3250173524683449, 2.8975404538987686, -1.212134120342568, 0.0022244818068457317]]
[[0.008078407543804716, -0.003222080877545041, 0.015283067889229963, 0.0018745546641154914, 0.0026199173150466934, 0.002761533272234649]]	[[0.2862948570697513, 0.36362562114568736, 0.32502213743326075, 2.897642839774049, -1.2120142092138362, 0.0022415257418608786]]
[[0.03604999202229945, 0.012514590527098452, 0.01289478138401194, 0.0019379399968593458, 0.0018089563183690753, 0.0024298432078913887]]	[[0.28631005213920535, 0.3636015680601648, 0.3250082950871561, 2.897524476563066, -1.2121684258347507, 0.0021870196404286733]]
[[0.0064664296015495715, -0.011796934793700035, 0.02286312920058732, 0.0014856545649720699, 0.002672553617846454, 0.0023828130267949106]]	[[0.2862853143899748, 0.36361120706726896, 0.325002810579411, 2.8975726525024315, -1.212025729959127, 0.002187378452671973]]
[[-0.005535184797619068, -0.024210795796818257, 0.017701605892907892, 0.0005259399614945734, 0.004008604758737753, 0.0029988017088494814]]	[[0.28629845976279794, 0.36360899592362167, 0.32502794226657894, 2.8976214849336657, -1.2121277701512945, 0.0022220195859246087]]
[[-0.014520722970566707, -0.01663490423972426, 0.01714929258128269, 0.0003157957742535452, 0.004392163292676651, 0.0027671437907182987]]	[[0.2863001930179182, 0.36360543486067504, 0.32503654652351754, 2.8975997646262646, -1.2121796469837844, 0.0021846588617560098]]
[[-0.001592081090901253, 0.01056834407919894, 0.025958398654820265, 0.0008926917810195435, 0.004625106785104592, 0.0020092298228040636]]	[[0.2863082300375477, 0.36360815274454467, 0.32500268148299705, 2.8975559153267363, -1.2121612624571634, 0.0022047473238725754]]
[[-0.03236092800790342, -0.019081533396355307, 0.022898382717863063, 0.000842050993416831, 0.0051703033818974314, 0.0025938587696097007]]	[[0.2862942923919271, 0.36360812435767736, 0.32501604233436304, 2.897602575786565, -1.2120793299973134, 0.002167019973976834]]
[[-0.06184331843149389, -0.02048665869099356, 0.0170308994209156, 0.0007923199909565587, 0.005865364751520715, 0.0031148848838801944]]	[[0.2863047271351947, 0.3636183317796763, 0.3250121287939946, 2.897589550767491, -1.212114428813625, 0.0022605466406200644]]
[[-0.04082214254434351, -0.0184495338599059, 0.01745268590135087, 0.0003137173889211425, 0.005593237516636701, 0.002601159596858073]]	[[0.2863010697425753, 0.36360452932881165, 0.32501159773150845, 2.8976251116357044, -1.2121495405645561, 0.002202710734683109]]
[[-0.07646641600787041, -0.07422475394170883, 0.013353742165723003, -0.0014121116766208238, 0.006613002422947975, 0.003966554800705923]]	[[0.28630447533626124, 0.36361447974475997, 0.32502536603457094, 2.8976929356886916, -1.2121170137753166, 0.002276674662370363]]
