[2.9612086]	[0.002]
[3.0068655]	[0.004]
[3.0060525]	[0.006]
[3.0061934]	[0.008]
[3.0061715]	[0.01]
[3.00615]	[0.012]
[3.0061336]	[0.014]
[3.0061078]	[0.016]
[3.0060902]	[0.018000000000000002]
[3.005657]	[0.020000000000000004]
[3.0056365]	[0.022000000000000006]
[3.0056145]	[0.024000000000000007]
[3.0055919]	[0.02600000000000001]
[3.005568]	[0.02800000000000001]
[3.0055492]	[0.030000000000000013]
[3.0748913]	[0.032000000000000015]
[3.0043764]	[0.034000000000000016]
[3.0733202]	[0.03600000000000002]
[3.0043511]	[0.03800000000000002]
[3.0054972]	[0.04000000000000002]
[3.0795836]	[0.04200000000000002]
[3.0043]	[0.044000000000000025]
[3.0774813]	[0.04600000000000003]
[3.0042818]	[0.04800000000000003]
[3.0760403]	[0.05000000000000003]
[3.0045927]	[0.05200000000000003]
[3.076165]	[0.054000000000000034]
[3.0045834]	[0.056000000000000036]
[3.0771372]	[0.05800000000000004]
[3.0045645]	[0.06000000000000004]
[3.0767465]	[0.06200000000000004]
[3.004571]	[0.06400000000000004]
[3.0752115]	[0.06600000000000004]
[3.004489]	[0.06800000000000005]
[3.0758061]	[0.07000000000000005]
[3.0044792]	[0.07200000000000005]
[3.073404]	[0.07400000000000005]
[3.004057]	[0.07600000000000005]
[3.0731375]	[0.07800000000000006]
[3.0040455]	[0.08000000000000006]
[3.0054526]	[0.08200000000000006]
[3.0793986]	[0.08400000000000006]
[3.0039985]	[0.08600000000000006]
[3.078098]	[0.08800000000000006]
[3.0041482]	[0.09000000000000007]
[3.0761962]	[0.09200000000000007]
[3.0041244]	[0.09400000000000007]
[3.0777767]	[0.09600000000000007]
[3.0041096]	[0.09800000000000007]
[3.0757148]	[0.10000000000000007]
[3.004095]	[0.10200000000000008]
[3.0757256]	[0.10400000000000008]
[3.004067]	[0.10600000000000008]
[3.074754]	[0.10800000000000008]
[3.0040877]	[0.11000000000000008]
[3.0739295]	[0.11200000000000009]
[3.0040662]	[0.11400000000000009]
[3.0745087]	[0.11600000000000009]
[3.0042]	[0.11800000000000009]
[3.0738137]	[0.12000000000000009]
[3.0041828]	[0.1220000000000001]
[3.0734563]	[0.1240000000000001]
[3.004161]	[0.12600000000000008]
[3.0738204]	[0.12800000000000009]
[3.0041425]	[0.1300000000000001]
[3.07266]	[0.1320000000000001]
[3.004327]	[0.1340000000000001]
[3.00518]	[0.1360000000000001]
[3.0780518]	[0.1380000000000001]
[3.0042856]	[0.1400000000000001]
[3.0779376]	[0.1420000000000001]
[3.0042768]	[0.1440000000000001]
[3.0778239]	[0.1460000000000001]
[3.0042627]	[0.1480000000000001]
[3.0759304]	[0.1500000000000001]
[3.0042405]	[0.1520000000000001]
[3.0751994]	[0.1540000000000001]
[3.0041633]	[0.1560000000000001]
[3.0751235]	[0.1580000000000001]
[3.0041487]	[0.16000000000000011]
[3.0753982]	[0.16200000000000012]
[3.004128]	[0.16400000000000012]
[3.0749443]	[0.16600000000000012]
[3.0041118]	[0.16800000000000012]
[3.074254]	[0.17000000000000012]
[3.0041342]	[0.17200000000000013]
[3.0741458]	[0.17400000000000013]
[3.0041096]	[0.17600000000000013]
[3.0739918]	[0.17800000000000013]
[3.004095]	[0.18000000000000013]
[3.0735884]	[0.18200000000000013]
[3.0040703]	[0.18400000000000014]
[3.0732205]	[0.18600000000000014]
[3.0040498]	[0.18800000000000014]
[3.072462]	[0.19000000000000014]
[3.0041914]	[0.19200000000000014]
[3.072455]	[0.19400000000000014]
[3.004167]	[0.19600000000000015]
[3.072669]	[0.19800000000000015]
[3.0043137]	[0.20000000000000015]
[3.0728416]	[0.20200000000000015]
[3.0043013]	[0.20400000000000015]
[3.072854]	[0.20600000000000016]
[3.004279]	[0.20800000000000016]
[3.0727282]	[0.21000000000000016]
[3.0042555]	[0.21200000000000016]
[3.0728374]	[0.21400000000000016]
[3.004237]	[0.21600000000000016]
[3.0724485]	[0.21800000000000017]
[3.0042195]	[0.22000000000000017]
[3.073355]	[0.22200000000000017]
[3.0042334]	[0.22400000000000017]
[3.0732126]	[0.22600000000000017]
[3.004214]	[0.22800000000000017]
[3.0744476]	[0.23000000000000018]
[3.0041895]	[0.23200000000000018]
[3.073161]	[0.23400000000000018]
[3.0043325]	[0.23600000000000018]
[3.0732574]	[0.23800000000000018]
[3.0043075]	[0.24000000000000019]
[3.0731769]	[0.2420000000000002]
[3.0042887]	[0.2440000000000002]
[3.0730412]	[0.2460000000000002]
[3.0042696]	[0.2480000000000002]
[3.0733147]	[0.25000000000000017]
[3.004245]	[0.25200000000000017]
[3.07312]	[0.25400000000000017]
[3.0042613]	[0.25600000000000017]
[3.073507]	[0.2580000000000002]
[3.0042357]	[0.2600000000000002]
[3.073293]	[0.2620000000000002]
[3.0042162]	[0.2640000000000002]
[3.073202]	[0.2660000000000002]
[3.0041962]	[0.2680000000000002]
[3.0738409]	[0.2700000000000002]
[3.0041788]	[0.2720000000000002]
[3.073409]	[0.2740000000000002]
[3.0041556]	[0.2760000000000002]
[3.0732977]	[0.2780000000000002]
[3.0041683]	[0.2800000000000002]
[3.0733526]	[0.2820000000000002]
[3.0037503]	[0.2840000000000002]
[3.07355]	[0.2860000000000002]
[3.0038948]	[0.2880000000000002]
[3.073764]	[0.2900000000000002]
[3.0039053]	[0.2920000000000002]
[3.074044]	[0.2940000000000002]
[3.0038846]	[0.2960000000000002]
[3.0737867]	[0.2980000000000002]
[3.00386]	[0.3000000000000002]
[3.0733347]	[0.3020000000000002]
[3.0039084]	[0.3040000000000002]
[3.0734556]	[0.3060000000000002]
[3.0038881]	[0.3080000000000002]
[3.0736897]	[0.3100000000000002]
[3.004036]	[0.3120000000000002]
[3.07359]	[0.3140000000000002]
[3.004009]	[0.3160000000000002]
[3.07391]	[0.3180000000000002]
[3.003991]	[0.32000000000000023]
[3.073381]	[0.32200000000000023]
[3.0039709]	[0.32400000000000023]
[3.0737214]	[0.32600000000000023]
[3.0039485]	[0.32800000000000024]
[3.0746365]	[0.33000000000000024]
[3.0039241]	[0.33200000000000024]
[3.0733585]	[0.33400000000000024]
[3.0039032]	[0.33600000000000024]
