[2.9654677]	[0.00025]
[2.583601]	[0.0005]
[2.9518259]	[0.00075]
[2.9457197]	[0.001]
[2.9458241]	[0.00125]
[2.9458315]	[0.0015]
[2.9458418]	[0.00175]
[2.9458497]	[0.002]
[2.9458582]	[0.0022500000000000003]
[3.424632]	[0.0025000000000000005]
[2.9306161]	[0.0027500000000000007]
[2.9339988]	[0.003000000000000001]
[2.488012]	[0.003250000000000001]
[3.4543433]	[0.0035000000000000014]
[2.9278677]	[0.0037500000000000016]
[2.930244]	[0.004000000000000002]
[2.9330125]	[0.004250000000000002]
[2.935845]	[0.004500000000000002]
[2.495055]	[0.0047500000000000025]
[3.4470022]	[0.005000000000000003]
[2.928717]	[0.005250000000000003]
[2.931391]	[0.005500000000000003]
[2.9337523]	[0.005750000000000003]
[2.4893656]	[0.006000000000000004]
[3.4519758]	[0.006250000000000004]
[2.9283118]	[0.006500000000000004]
[2.9303358]	[0.006750000000000004]
[2.93322]	[0.0070000000000000045]
[2.934869]	[0.007250000000000005]
[2.497662]	[0.007500000000000005]
[3.445456]	[0.007750000000000005]
[2.9292333]	[0.008000000000000005]
[2.9307816]	[0.008250000000000006]
[2.93393]	[0.008500000000000006]
[2.490664]	[0.008750000000000006]
[3.4508746]	[0.009000000000000006]
[2.9282238]	[0.009250000000000006]
[2.930588]	[0.009500000000000007]
[2.9332206]	[0.009750000000000007]
[2.487196]	[0.010000000000000007]
[3.4537566]	[0.010250000000000007]
[2.927913]	[0.010500000000000008]
[2.930129]	[0.010750000000000008]
[2.932955]	[0.011000000000000008]
[2.9350004]	[0.011250000000000008]
[2.4966424]	[0.011500000000000008]
[3.4458957]	[0.011750000000000009]
[2.9282646]	[0.012000000000000009]
[2.9315684]	[0.01225000000000001]
[2.933563]	[0.01250000000000001]
[2.4907901]	[0.01275000000000001]
[3.4511404]	[0.01300000000000001]
[2.928065]	[0.01325000000000001]
[2.93042]	[0.01350000000000001]
[2.932891]	[0.01375000000000001]
[2.487561]	[0.01400000000000001]
[3.453734]	[0.014250000000000011]
[2.9275553]	[0.014500000000000011]
[2.9303453]	[0.014750000000000011]
[2.9329267]	[0.015000000000000012]
[2.9348776]	[0.015250000000000012]
[2.4970014]	[0.015500000000000012]
[3.4453895]	[0.01575000000000001]
[2.9289813]	[0.01600000000000001]
[2.9309614]	[0.01625000000000001]
[2.9340076]	[0.01650000000000001]
[2.4907517]	[0.01675000000000001]
[3.4507265]	[0.01700000000000001]
[2.9286213]	[0.017250000000000012]
[2.9300685]	[0.017500000000000012]
[2.9333062]	[0.017750000000000012]
[2.935294]	[0.018000000000000013]
[2.4983563]	[0.018250000000000013]
[3.4443684]	[0.018500000000000013]
[2.9288797]	[0.018750000000000013]
[2.9311638]	[0.019000000000000013]
[2.933925]	[0.019250000000000014]
[2.4917376]	[0.019500000000000014]
[3.4499962]	[0.019750000000000014]
[2.9285429]	[0.020000000000000014]
[2.93019]	[0.020250000000000015]
[2.9332266]	[0.020500000000000015]
[2.4881535]	[0.020750000000000015]
[3.4531465]	[0.021000000000000015]
[2.9274888]	[0.021250000000000015]
[2.9303348]	[0.021500000000000016]
[2.933075]	[0.021750000000000016]
[2.9351156]	[0.022000000000000016]
[2.4972353]	[0.022250000000000016]
[3.4451888]	[0.022500000000000017]
[2.928605]	[0.022750000000000017]
[2.9310791]	[0.023000000000000017]
[2.9339323]	[0.023250000000000017]
[2.4912798]	[0.023500000000000017]
[3.4500134]	[0.023750000000000018]
[2.9285686]	[0.024000000000000018]
[2.9300773]	[0.024250000000000018]
[2.933358]	[0.02450000000000002]
[2.4881077]	[0.02475000000000002]
[3.4530327]	[0.02500000000000002]
[2.9274108]	[0.02525000000000002]
[2.9301953]	[0.02550000000000002]
[2.9329689]	[0.02575000000000002]
[2.9350846]	[0.02600000000000002]
[2.4977117]	[0.02625000000000002]
[3.4445748]	[0.02650000000000002]
[2.9286113]	[0.02675000000000002]
[2.9313145]	[0.02700000000000002]
[2.9334712]	[0.02725000000000002]
[2.4921284]	[0.02750000000000002]
[3.449744]	[0.02775000000000002]
[2.9281812]	[0.02800000000000002]
[2.93064]	[0.02825000000000002]
[2.9339669]	[0.028500000000000022]
[2.4874806]	[0.028750000000000022]
[3.4526613]	[0.029000000000000022]
[2.9278078]	[0.029250000000000023]
[2.9302154]	[0.029500000000000023]
[2.9330912]	[0.029750000000000023]
[2.9347935]	[0.030000000000000023]
[2.4979331]	[0.030250000000000023]
[3.4443634]	[0.030500000000000024]
[2.929215]	[0.030750000000000024]
[2.9307425]	[0.031000000000000024]
[2.933934]	[0.03125000000000002]
[2.491832]	[0.03150000000000002]
[3.4494627]	[0.03175000000000002]
[2.9281938]	[0.03200000000000002]
[2.9304273]	[0.03225000000000002]
[2.933238]	[0.03250000000000002]
[2.48878]	[0.03275000000000002]
[3.452143]	[0.03300000000000002]
[2.92809]	[0.03325000000000002]
[2.9303348]	[0.03350000000000002]
[2.932961]	[0.03375000000000002]
[2.934995]	[0.03400000000000002]
[2.4978662]	[0.034250000000000023]
[3.4443645]	[0.034500000000000024]
[2.9286697]	[0.034750000000000024]
[2.9312546]	[0.035000000000000024]
[2.9336174]	[0.035250000000000024]
[2.492201]	[0.035500000000000025]
[3.449355]	[0.035750000000000025]
[2.92813]	[0.036000000000000025]
[2.9305089]	[0.036250000000000025]
[2.9332983]	[0.036500000000000025]
[2.4887981]	[0.036750000000000026]
[3.4520087]	[0.037000000000000026]
[2.9272861]	[0.037250000000000026]
[2.9308884]	[0.037500000000000026]
[2.9329987]	[0.03775000000000003]
[2.934655]	[0.03800000000000003]
[2.4985576]	[0.03825000000000003]
[3.4440856]	[0.03850000000000003]
[2.9286487]	[0.03875000000000003]
[2.9317048]	[0.03900000000000003]
[2.9337814]	[0.03925000000000003]
[2.4918528]	[0.03950000000000003]
[3.4492738]	[0.03975000000000003]
[2.9277904]	[0.04000000000000003]
[2.9311213]	[0.04025000000000003]
[2.9331622]	[0.04050000000000003]
[2.4888213]	[0.04075000000000003]
[3.4521327]	[0.04100000000000003]
[2.9276905]	[0.04125000000000003]
[2.930205]	[0.04150000000000003]
[2.9326956]	[0.04175000000000003]
[2.9349997]	[0.04200000000000003]
[2.4986844]	[0.04225000000000003]
[3.4439337]	[0.04250000000000003]
[2.9287012]	[0.04275000000000003]
[2.931639]	[0.04300000000000003]
[2.9338725]	[0.04325000000000003]
[2.4919195]	[0.04350000000000003]
[3.4491649]	[0.04375000000000003]
[2.9278026]	[0.04400000000000003]
[2.931105]	[0.04425000000000003]
[2.933217]	[0.04450000000000003]
[2.488881]	[0.04475000000000003]
[3.4517956]	[0.04500000000000003]
[2.9276679]	[0.04525000000000003]
[2.9303849]	[0.045500000000000033]
[2.9327683]	[0.045750000000000034]
[2.9347932]	[0.046000000000000034]
[2.4990125]	[0.046250000000000034]
[3.443625]	[0.046500000000000034]
[2.9285254]	[0.046750000000000035]
[2.9315243]	[0.047000000000000035]
[2.933997]	[0.047250000000000035]
[2.492391]	[0.047500000000000035]
[3.4486458]	[0.047750000000000035]
[2.9281008]	[0.048000000000000036]
[2.9305487]	[0.048250000000000036]
[2.933299]	[0.048500000000000036]
[2.4895823]	[0.048750000000000036]
[3.4514952]	[0.04900000000000004]
[2.927074]	[0.04925000000000004]
[2.9306936]	[0.04950000000000004]
[2.9329224]	[0.04975000000000004]
[2.9349616]	[0.05000000000000004]
[2.4992676]	[0.05025000000000004]
[3.4427874]	[0.05050000000000004]
[2.9292686]	[0.05075000000000004]
[2.931628]	[0.05100000000000004]
[2.9340763]	[0.05125000000000004]
[2.4922876]	[0.05150000000000004]
[3.448646]	[0.05175000000000004]
[2.9280193]	[0.05200000000000004]
[2.9304862]	[0.05225000000000004]
[2.9333448]	[0.05250000000000004]
[2.4896805]	[0.05275000000000004]
[3.4513118]	[0.05300000000000004]
[2.9270837]	[0.05325000000000004]
[2.9307168]	[0.05350000000000004]
[2.9328582]	[0.05375000000000004]
[2.9350312]	[0.05400000000000004]
[2.4994109]	[0.05425000000000004]
[3.4433734]	[0.05450000000000004]
[2.9281862]	[0.05475000000000004]
[2.9313993]	[0.05500000000000004]
[2.9345026]	[0.05525000000000004]
[2.4925137]	[0.05550000000000004]
[3.4477646]	[0.05575000000000004]
[2.9283292]	[0.05600000000000004]
[2.9306173]	[0.05625000000000004]
[2.9332886]	[0.05650000000000004]
[2.4902515]	[0.05675000000000004]
[3.450214]	[0.057000000000000044]
[2.9278364]	[0.057250000000000044]
[2.930252]	[0.057500000000000044]
[2.932973]	[0.057750000000000044]
[2.9352322]	[0.058000000000000045]
[2.4998689]	[0.058250000000000045]
[3.4420698]	[0.058500000000000045]
[2.9290097]	[0.058750000000000045]
[2.9312594]	[0.059000000000000045]
[2.9343746]	[0.059250000000000046]
[2.4932492]	[0.059500000000000046]
[3.447018]	[0.059750000000000046]
[2.9285922]	[0.060000000000000046]
[2.9306605]	[0.06025000000000005]
[2.9333272]	[0.06050000000000005]
[2.4906435]	[0.06075000000000005]
[3.4499023]	[0.06100000000000005]
[2.9278774]	[0.06125000000000005]
[2.9302552]	[0.06150000000000005]
[2.9330332]	[0.06175000000000005]
[2.9352746]	[0.06200000000000005]
[2.5000265]	[0.06225000000000005]
[3.4418433]	[0.06250000000000004]
[2.9288602]	[0.06275000000000004]
[2.9315977]	[0.06300000000000004]
[2.9338882]	[0.06325000000000004]
[2.4938889]	[0.06350000000000004]
[3.4471815]	[0.06375000000000004]
[2.9280496]	[0.06400000000000004]
[2.9307594]	[0.06425000000000004]
[2.93406]	[0.06450000000000004]
[2.4899914]	[0.06475000000000004]
[3.4499865]	[0.06500000000000004]
[2.92799]	[0.06525000000000004]
[2.93029]	[0.06550000000000004]
[2.933098]	[0.06575000000000004]
[2.934977]	[0.06600000000000004]
[2.5001473]	[0.06625000000000004]
[3.441888]	[0.06650000000000005]
[2.9288893]	[0.06675000000000005]
[2.9311905]	[0.06700000000000005]
[2.933545]	[0.06725000000000005]
[2.4945774]	[0.06750000000000005]
[3.4471807]	[0.06775000000000005]
[2.928048]	[0.06800000000000005]
[2.9307272]	[0.06825000000000005]
[2.9330585]	[0.06850000000000005]
