[2.9476755]	[0.002]
[3.007337]	[0.004]
[3.0065145]	[0.006]
[3.0063825]	[0.008]
[2.9396603]	[0.01]
[2.9440978]	[0.012]
[2.9465528]	[0.014]
[3.007248]	[0.016]
[2.9255767]	[0.018000000000000002]
[2.935488]	[0.020000000000000004]
[2.9413288]	[0.022000000000000006]
[2.9448483]	[0.024000000000000007]
[2.9470952]	[0.02600000000000001]
[3.0072374]	[0.02800000000000001]
[2.925769]	[0.030000000000000013]
[2.9358652]	[0.032000000000000015]
[2.941434]	[0.034000000000000016]
[2.94499]	[0.03600000000000002]
[2.9471366]	[0.03800000000000002]
[3.0072286]	[0.04000000000000002]
[2.926106]	[0.04200000000000002]
[2.9358134]	[0.044000000000000025]
[2.9413574]	[0.04600000000000003]
[2.9449918]	[0.04800000000000003]
[2.947159]	[0.05000000000000003]
[3.0071907]	[0.05200000000000003]
[2.9261224]	[0.054000000000000034]
[2.9356875]	[0.056000000000000036]
[2.9413478]	[0.05800000000000004]
[2.945044]	[0.06000000000000004]
[2.9472334]	[0.06200000000000004]
[3.0071545]	[0.06400000000000004]
[2.9259508]	[0.06600000000000004]
[2.9357069]	[0.06800000000000005]
[2.9413595]	[0.07000000000000005]
[2.945042]	[0.07200000000000005]
[2.9472377]	[0.07400000000000005]
[3.0071409]	[0.07600000000000005]
[2.92594]	[0.07800000000000006]
[2.9357095]	[0.08000000000000006]
[2.941321]	[0.08200000000000006]
[2.94506]	[0.08400000000000006]
[2.9471428]	[0.08600000000000006]
[3.007132]	[0.08800000000000006]
[2.9258928]	[0.09000000000000007]
[2.9356885]	[0.09200000000000007]
[2.9413924]	[0.09400000000000007]
[2.9452336]	[0.09600000000000007]
[2.9474633]	[0.09800000000000007]
[3.007172]	[0.10000000000000007]
[2.9259682]	[0.10200000000000008]
[2.9357507]	[0.10400000000000008]
[2.9415343]	[0.10600000000000008]
[2.9450464]	[0.10800000000000008]
[2.947071]	[0.11000000000000008]
[3.0071616]	[0.11200000000000009]
[2.9258947]	[0.11400000000000009]
[2.9357536]	[0.11600000000000009]
[2.9414504]	[0.11800000000000009]
[2.945038]	[0.12000000000000009]
[2.9473214]	[0.1220000000000001]
[3.0071754]	[0.1240000000000001]
[2.9259953]	[0.12600000000000008]
[2.9356155]	[0.12800000000000009]
[2.941489]	[0.1300000000000001]
[2.9450214]	[0.1320000000000001]
[2.947061]	[0.1340000000000001]
[3.007117]	[0.1360000000000001]
[2.926001]	[0.1380000000000001]
[2.935559]	[0.1400000000000001]
[2.941445]	[0.1420000000000001]
[2.94505]	[0.1440000000000001]
[2.947105]	[0.1460000000000001]
[3.007105]	[0.1480000000000001]
[2.9258535]	[0.1500000000000001]
[2.935611]	[0.1520000000000001]
[2.9415145]	[0.1540000000000001]
[2.944932]	[0.1560000000000001]
[2.9470851]	[0.1580000000000001]
[3.007096]	[0.16000000000000011]
[2.9258463]	[0.16200000000000012]
[2.9356613]	[0.16400000000000012]
[2.9415102]	[0.16600000000000012]
[2.9448364]	[0.16800000000000012]
[2.9471824]	[0.17000000000000012]
[3.0071294]	[0.17200000000000013]
[2.9259882]	[0.17400000000000013]
[2.9357178]	[0.17600000000000013]
[2.941564]	[0.17800000000000013]
[2.944979]	[0.18000000000000013]
[2.9471657]	[0.18200000000000013]
[3.0070715]	[0.18400000000000014]
[2.925908]	[0.18600000000000014]
[2.9355462]	[0.18800000000000014]
[2.9414907]	[0.19000000000000014]
[2.944944]	[0.19200000000000014]
[2.9471452]	[0.19400000000000014]
[3.0070364]	[0.19600000000000015]
[2.925974]	[0.19800000000000015]
[2.9356987]	[0.20000000000000015]
[2.9415398]	[0.20200000000000015]
[2.9449914]	[0.20400000000000015]
[2.9471416]	[0.20600000000000016]
[3.0070262]	[0.20800000000000016]
[2.9260328]	[0.21000000000000016]
[2.9357357]	[0.21200000000000016]
[2.9415708]	[0.21400000000000016]
[2.94507]	[0.21600000000000016]
[2.947121]	[0.21800000000000017]
[3.0070152]	[0.22000000000000017]
[2.926045]	[0.22200000000000017]
[2.9357574]	[0.22400000000000017]
[2.9414814]	[0.22600000000000017]
[2.9451954]	[0.22800000000000017]
[2.9470928]	[0.23000000000000018]
[3.007029]	[0.23200000000000018]
[2.9260614]	[0.23400000000000018]
[2.9357932]	[0.23600000000000018]
[2.9415176]	[0.23800000000000018]
[2.945046]	[0.24000000000000019]
[2.9471025]	[0.2420000000000002]
[3.0069976]	[0.2440000000000002]
[2.9260273]	[0.2460000000000002]
[2.9358745]	[0.2480000000000002]
[2.9414918]	[0.25000000000000017]
[2.9450893]	[0.25200000000000017]
[2.9470992]	[0.25400000000000017]
[3.0069873]	[0.25600000000000017]
[2.9260097]	[0.2580000000000002]
[2.9358249]	[0.2600000000000002]
[2.9415603]	[0.2620000000000002]
[2.945033]	[0.2640000000000002]
[2.9471216]	[0.2660000000000002]
[3.006977]	[0.2680000000000002]
[2.9260352]	[0.2700000000000002]
[2.9358494]	[0.2720000000000002]
[2.9415655]	[0.2740000000000002]
[2.9450464]	[0.2760000000000002]
[2.9471147]	[0.2780000000000002]
[3.006939]	[0.2800000000000002]
[2.9260192]	[0.2820000000000002]
[2.9358537]	[0.2840000000000002]
[2.9415665]	[0.2860000000000002]
