[2.9825528]	[0.012]
[2.5522714]	[0.024]
[2.9510067]	[0.036000000000000004]
[2.9459274]	[0.048]
[2.945984]	[0.06]
[2.945987]	[0.072]
[2.9459884]	[0.08399999999999999]
[2.9459894]	[0.09599999999999999]
[2.9459898]	[0.10799999999999998]
[2.945994]	[0.11999999999999998]
[2.9459915]	[0.13199999999999998]
[2.9459946]	[0.144]
[2.945996]	[0.156]
[2.9459946]	[0.168]
[2.137283]	[0.18000000000000002]
[3.763538]	[0.19200000000000003]
[2.0807889]	[0.20400000000000004]
[2.9646645]	[0.21600000000000005]
[2.9639552]	[0.22800000000000006]
[2.9627247]	[0.24000000000000007]
[3.7575788]	[0.25200000000000006]
[2.0877638]	[0.26400000000000007]
[2.963923]	[0.2760000000000001]
[2.9635692]	[0.2880000000000001]
[2.9617972]	[0.3000000000000001]
[3.7527733]	[0.3120000000000001]
[2.0919082]	[0.3240000000000001]
[2.9635754]	[0.33600000000000013]
[2.963466]	[0.34800000000000014]
[3.7650723]	[0.36000000000000015]
[2.0803673]	[0.37200000000000016]
[2.9644585]	[0.3840000000000002]
[2.964399]	[0.3960000000000002]
[2.9625967]	[0.4080000000000002]
[3.758013]	[0.4200000000000002]
[2.0868163]	[0.4320000000000002]
[2.9635124]	[0.44400000000000023]
[2.963936]	[0.45600000000000024]
[2.9620903]	[0.46800000000000025]
[3.7535214]	[0.48000000000000026]
[2.0905411]	[0.49200000000000027]
[2.9635248]	[0.5040000000000002]
[2.9631782]	[0.5160000000000002]
[2.9613006]	[0.5280000000000002]
[3.7513473]	[0.5400000000000003]
[2.0926616]	[0.5520000000000003]
[2.9633887]	[0.5640000000000003]
[2.962861]	[0.5760000000000003]
[2.96127]	[0.5880000000000003]
[3.749729]	[0.6000000000000003]
[2.0937605]	[0.6120000000000003]
[2.9629858]	[0.6240000000000003]
[2.962735]	[0.6360000000000003]
[3.764576]	[0.6480000000000004]
[2.0814612]	[0.6600000000000004]
[2.9628398]	[0.6720000000000004]
[2.964125]	[0.6840000000000004]
[2.9624693]	[0.6960000000000004]
[3.7589521]	[0.7080000000000004]
[2.0854747]	[0.7200000000000004]
[2.9635692]	[0.7320000000000004]
[2.9633474]	[0.7440000000000004]
[2.9618273]	[0.7560000000000004]
[3.7556763]	[0.7680000000000005]
[2.08903]	[0.7800000000000005]
[2.962327]	[0.7920000000000005]
[2.96343]	[0.8040000000000005]
[2.9615982]	[0.8160000000000005]
[3.753513]	[0.8280000000000005]
[2.0911303]	[0.8400000000000005]
[2.9620123]	[0.8520000000000005]
[2.9631972]	[0.8640000000000005]
[2.9613636]	[0.8760000000000006]
[3.75221]	[0.8880000000000006]
[2.090721]	[0.9000000000000006]
[2.9641442]	[0.9120000000000006]
[2.9618323]	[0.9240000000000006]
[2.9610777]	[0.9360000000000006]
[3.7521157]	[0.9480000000000006]
[2.0908334]	[0.9600000000000006]
[2.9638982]	[0.9720000000000006]
[2.961715]	[0.9840000000000007]
[2.9610698]	[0.9960000000000007]
[3.7523794]	[1.0080000000000007]
[2.0902104]	[1.0200000000000007]
[2.9633543]	[1.0320000000000007]
[2.964184]	[1.0440000000000007]
[2.960096]	[1.0560000000000007]
[3.7520566]	[1.0680000000000007]
[2.090173]	[1.0800000000000007]
[2.9629803]	[1.0920000000000007]
[2.9642925]	[1.1040000000000008]
[2.9607146]	[1.1160000000000008]
[3.751768]	[1.1280000000000008]
[2.089543]	[1.1400000000000008]
[2.9630864]	[1.1520000000000008]
[2.9642196]	[1.1640000000000008]
[2.9609313]	[1.1760000000000008]
[3.7521076]	[1.1880000000000008]
[2.0890927]	[1.2000000000000008]
[2.9627528]	[1.2120000000000009]
[2.9632094]	[1.2240000000000009]
[2.962143]	[1.2360000000000009]
[3.7527547]	[1.2480000000000009]
[2.0897062]	[1.260000000000001]
[2.961775]	[1.272000000000001]
[2.9627419]	[1.284000000000001]
[2.9624987]	[1.296000000000001]
[3.7532177]	[1.308000000000001]
[2.0888262]	[1.320000000000001]
[2.9631662]	[1.332000000000001]
[2.9610605]	[1.344000000000001]
[2.9625928]	[1.356000000000001]
[3.7542531]	[1.368000000000001]
[2.0878472]	[1.380000000000001]
[2.9631302]	[1.392000000000001]
[2.9617896]	[1.404000000000001]
[2.9615757]	[1.416000000000001]
[3.7555294]	[1.428000000000001]
[2.0862803]	[1.440000000000001]
[2.9637055]	[1.452000000000001]
[2.9633183]	[1.464000000000001]
[2.959737]	[1.476000000000001]
