[3.021779]	[0.002]
[2.9610598]	[0.004]
[3.080634]	[0.006]
[2.979759]	[0.008]
[2.9528193]	[0.01]
[2.9472957]	[0.012]
[2.946252]	[0.014]
[2.9460595]	[0.016]
[2.9460237]	[0.018000000000000002]
[2.946017]	[0.020000000000000004]
[2.9460156]	[0.022000000000000006]
[2.946017]	[0.024000000000000007]
[2.9460142]	[0.02600000000000001]
[2.9460132]	[0.02800000000000001]
[2.9460118]	[0.030000000000000013]
[2.946013]	[0.032000000000000015]
[2.9460094]	[0.034000000000000016]
[2.946012]	[0.03600000000000002]
[2.9460118]	[0.03800000000000002]
[2.9460096]	[0.04000000000000002]
[2.9460077]	[0.04200000000000002]
[2.9460075]	[0.044000000000000025]
[2.9460068]	[0.04600000000000003]
[2.9460077]	[0.04800000000000003]
[2.946006]	[0.05000000000000003]
[2.9460063]	[0.05200000000000003]
[2.9460049]	[0.054000000000000034]
[2.946002]	[0.056000000000000036]
[2.9460032]	[0.05800000000000004]
[2.9460037]	[0.06000000000000004]
[2.9460013]	[0.06200000000000004]
[2.9460015]	[0.06400000000000004]
[2.9460022]	[0.06600000000000004]
[2.945999]	[0.06800000000000005]
[2.9459987]	[0.07000000000000005]
[2.9459991]	[0.07200000000000005]
[2.945996]	[0.07400000000000005]
[2.9459975]	[0.07600000000000005]
[2.9459963]	[0.07800000000000006]
[2.9459975]	[0.08000000000000006]
[2.9459958]	[0.08200000000000006]
[2.9459941]	[0.08400000000000006]
[2.9459956]	[0.08600000000000006]
[2.9459925]	[0.08800000000000006]
[2.9459937]	[0.09000000000000007]
[2.945991]	[0.09200000000000007]
[2.9459915]	[0.09400000000000007]
[2.945989]	[0.09600000000000007]
[2.9459898]	[0.09800000000000007]
[2.94599]	[0.10000000000000007]
[2.9459884]	[0.10200000000000008]
[2.9459867]	[0.10400000000000008]
[2.9459858]	[0.10600000000000008]
[2.9459856]	[0.10800000000000008]
[2.9459863]	[0.11000000000000008]
[2.9459856]	[0.11200000000000009]
[2.945984]	[0.11400000000000009]
[2.9459832]	[0.11600000000000009]
[2.9459856]	[0.11800000000000009]
[2.9459844]	[0.12000000000000009]
[2.9459834]	[0.1220000000000001]
[2.945981]	[0.1240000000000001]
[2.9459798]	[0.12600000000000008]
[2.9459784]	[0.12800000000000009]
[2.94598]	[0.1300000000000001]
[2.94598]	[0.1320000000000001]
[-0.5619431]	[0.1340000000000001]
[2.183699]	[0.1360000000000001]
[2.8139436]	[0.1380000000000001]
[2.9378061]	[0.1400000000000001]
[6.446822]	[0.1420000000000001]
[0.18160814]	[0.1440000000000001]
[2.3292174]	[0.1460000000000001]
[2.8420324]	[0.1480000000000001]
[2.942176]	[0.1500000000000001]
[6.4371605]	[0.1520000000000001]
[0.18832877]	[0.1540000000000001]
[2.329286]	[0.1560000000000001]
[2.8420548]	[0.1580000000000001]
[2.9413164]	[0.16000000000000011]
[6.4303226]	[0.16200000000000012]
[0.19220075]	[0.16400000000000012]
[2.3302443]	[0.16600000000000012]
[2.84177]	[0.16800000000000012]
[6.420803]	[0.17000000000000012]
[0.18077055]	[0.17200000000000013]
[2.3272023]	[0.17400000000000013]
[2.841436]	[0.17600000000000013]
[2.9413548]	[0.17800000000000013]
[6.4356904]	[0.18000000000000013]
[0.18820584]	[0.18200000000000013]
[2.3287947]	[0.18400000000000014]
[2.8419163]	[0.18600000000000014]
[2.941441]	[0.18800000000000014]
[6.43037]	[0.19000000000000014]
[0.19236487]	[0.19200000000000014]
[2.3302343]	[0.19400000000000014]
[2.8425052]	[0.19600000000000015]
[2.9413955]	[0.19800000000000015]
[6.424299]	[0.20000000000000015]
[0.19732167]	[0.20200000000000015]
[2.3302052]	[0.20400000000000015]
[2.8422189]	[0.20600000000000016]
[6.4150586]	[0.20800000000000016]
[0.18711124]	[0.21000000000000016]
[2.3268402]	[0.21200000000000016]
[2.8420992]	[0.21400000000000016]
[2.9419467]	[0.21600000000000016]
[6.428588]	[0.21800000000000017]
[0.19569959]	[0.22000000000000017]
[2.328158]	[0.22200000000000017]
[2.8412535]	[0.22400000000000017]
[2.9417014]	[0.22600000000000017]
[6.423751]	[0.22800000000000017]
[0.19983833]	[0.23000000000000018]
[2.328975]	[0.23200000000000018]
[2.840778]	[0.23400000000000018]
[2.9419286]	[0.23600000000000018]
[6.4190235]	[0.23800000000000018]
[0.2031751]	[0.24000000000000019]
[2.3290064]	[0.2420000000000002]
[2.8407838]	[0.2440000000000002]
[2.9409194]	[0.2460000000000002]
[6.416307]	[0.2480000000000002]
[0.204663]	[0.25000000000000017]
[2.3296297]	[0.25200000000000017]
[2.8410287]	[0.25400000000000017]
[2.9410007]	[0.25600000000000017]
[6.413821]	[0.2580000000000002]
[0.20642379]	[0.2600000000000002]
[2.3295157]	[0.2620000000000002]
[2.8411505]	[0.2640000000000002]
[6.407215]	[0.2660000000000002]
[0.19325212]	[0.2680000000000002]
[2.3268135]	[0.2700000000000002]
[2.8406036]	[0.2720000000000002]
[2.940835]	[0.2740000000000002]
[6.4244485]	[0.2760000000000002]
[0.19863914]	[0.2780000000000002]
[2.3278403]	[0.2800000000000002]
[2.8408687]	[0.2820000000000002]
[2.9409661]	[0.2840000000000002]
[6.421881]	[0.2860000000000002]
[0.20058428]	[0.2880000000000002]
[2.3278453]	[0.2900000000000002]
[2.8408566]	[0.2920000000000002]
[2.940968]	[0.2940000000000002]
[6.4198127]	[0.2960000000000002]
[0.20187627]	[0.2980000000000002]
[2.3283591]	[0.3000000000000002]
[2.841177]	[0.3020000000000002]
[2.9407673]	[0.3040000000000002]
[6.417856]	[0.3060000000000002]
[0.20365565]	[0.3080000000000002]
[2.3286493]	[0.3100000000000002]
[2.8413022]	[0.3120000000000002]
[2.9401712]	[0.3140000000000002]
[6.4162574]	[0.3160000000000002]
[0.2046524]	[0.3180000000000002]
[2.329495]	[0.32000000000000023]
[2.841025]	[0.32200000000000023]
[2.9409552]	[0.32400000000000023]
[6.4140177]	[0.32600000000000023]
[0.20671445]	[0.32800000000000024]
[2.3297765]	[0.33000000000000024]
[2.8413777]	[0.33200000000000024]
[2.9406338]	[0.33400000000000024]
[6.4117]	[0.33600000000000024]
[0.20877403]	[0.33800000000000024]
[2.3301997]	[0.34000000000000025]
[2.8415875]	[0.34200000000000025]
[6.404003]	[0.34400000000000025]
[0.19596168]	[0.34600000000000025]
[2.3279762]	[0.34800000000000025]
[2.8412058]	[0.35000000000000026]
[2.9403179]	[0.35200000000000026]
[6.420763]	[0.35400000000000026]
[0.20171382]	[0.35600000000000026]
[2.3293176]	[0.35800000000000026]
[2.8417547]	[0.36000000000000026]
[2.9404078]	[0.36200000000000027]
[6.417268]	[0.36400000000000027]
[0.20389721]	[0.36600000000000027]
[2.3301942]	[0.36800000000000027]
[2.8420484]	[0.3700000000000003]
[2.940285]	[0.3720000000000003]
[6.414007]	[0.3740000000000003]
[0.20628862]	[0.3760000000000003]
[2.3307264]	[0.3780000000000003]
[2.8419092]	[0.3800000000000003]
[2.9404683]	[0.3820000000000003]
[6.4109893]	[0.3840000000000003]
[0.20851459]	[0.3860000000000003]
[2.331422]	[0.3880000000000003]
[2.8420804]	[0.3900000000000003]
[6.40271]	[0.3920000000000003]
[0.19667475]	[0.3940000000000003]
[2.3285632]	[0.3960000000000003]
[2.841813]	[0.3980000000000003]
[2.9404914]	[0.4000000000000003]
[6.418816]	[0.4020000000000003]
[0.20330477]	[0.4040000000000003]
[2.3299682]	[0.4060000000000003]
[2.8421547]	[0.4080000000000003]
[2.940562]	[0.4100000000000003]
[6.4146614]	[0.4120000000000003]
[0.20642011]	[0.4140000000000003]
[2.3304048]	[0.4160000000000003]
[2.8425083]	[0.4180000000000003]
[2.9403558]	[0.4200000000000003]
[6.4108386]	[0.4220000000000003]
[0.20939313]	[0.4240000000000003]
[2.331067]	[0.4260000000000003]
[2.8422756]	[0.4280000000000003]
[6.4020863]	[0.4300000000000003]
[0.19795892]	[0.43200000000000033]
[2.3288066]	[0.43400000000000033]
[2.8421862]	[0.43600000000000033]
[2.9408855]	[0.43800000000000033]
[6.4167795]	[0.44000000000000034]
[0.20495054]	[0.44200000000000034]
[2.3304818]	[0.44400000000000034]
[2.841951]	[0.44600000000000034]
[2.9408228]	[0.44800000000000034]
[6.412464]	[0.45000000000000034]
[0.20816498]	[0.45200000000000035]
[2.331331]	[0.45400000000000035]
[2.8419688]	[0.45600000000000035]
[2.9406667]	[0.45800000000000035]
[6.408431]	[0.46000000000000035]
[0.21158308]	[0.46200000000000035]
[2.3316424]	[0.46400000000000036]
[2.8421931]	[0.46600000000000036]
[6.3994474]	[0.46800000000000036]
[0.19999266]	[0.47000000000000036]
[2.3295536]	[0.47200000000000036]
[2.8421137]	[0.47400000000000037]
[2.9403853]	[0.47600000000000037]
[6.4144835]	[0.47800000000000037]
[0.20715614]	[0.48000000000000037]
[2.3308442]	[0.4820000000000004]
[2.8413744]	[0.4840000000000004]
[2.940765]	[0.4860000000000004]
[6.4103975]	[0.4880000000000004]
[0.21042697]	[0.4900000000000004]
[2.3312776]	[0.4920000000000004]
[2.8415508]	[0.4940000000000004]
[2.9406145]	[0.4960000000000004]
[6.40662]	[0.4980000000000004]
[0.21320897]	[0.5000000000000003]
[2.331633]	[0.5020000000000003]
[2.8418334]	[0.5040000000000003]
[6.3980713]	[0.5060000000000003]
[0.20533499]	[0.5080000000000003]
[2.3259459]	[0.5100000000000003]
[2.8421404]	[0.5120000000000003]
[2.9413576]	[0.5140000000000003]
[6.4119887]	[0.5160000000000003]
[0.20986627]	[0.5180000000000003]
[2.3311706]	[0.5200000000000004]
[2.8423696]	[0.5220000000000004]
[2.940908]	[0.5240000000000004]
[6.4065466]	[0.5260000000000004]
[0.2144206]	[0.5280000000000004]
[2.332121]	[0.5300000000000004]
[2.84192]	[0.5320000000000004]
[2.9412432]	[0.5340000000000004]
[6.401123]	[0.5360000000000004]
[0.2186068]	[0.5380000000000004]
[2.3326921]	[0.5400000000000004]
[2.8424702]	[0.5420000000000004]
[6.3912344]	[0.5440000000000004]
[0.21143442]	[0.5460000000000004]
[2.3261764]	[0.5480000000000004]
[2.842483]	[0.5500000000000004]
[2.9415052]	[0.5520000000000004]
[6.4051414]	[0.5540000000000004]
[0.21962354]	[0.5560000000000004]
[2.3282642]	[0.5580000000000004]
[2.842287]	[0.5600000000000004]
[2.9415655]	[0.5620000000000004]
[6.3991675]	[0.5640000000000004]
[0.22089122]	[0.5660000000000004]
[2.3328846]	[0.5680000000000004]
[2.8424327]	[0.5700000000000004]
[6.3888617]	[0.5720000000000004]
[0.21502183]	[0.5740000000000004]
[2.3257165]	[0.5760000000000004]
[2.8458552]	[0.5780000000000004]
[2.9364326]	[0.5800000000000004]
[6.403459]	[0.5820000000000004]
[0.21836841]	[0.5840000000000004]
[2.3305373]	[0.5860000000000004]
[2.8431134]	[0.5880000000000004]
[2.9417284]	[0.5900000000000004]
[6.397397]	[0.5920000000000004]
[0.22335742]	[0.5940000000000004]
[2.332504]	[0.5960000000000004]
[2.8425145]	[0.5980000000000004]
[6.3867455]	[0.6000000000000004]
[0.2178787]	[0.6020000000000004]
[2.325956]	[0.6040000000000004]
[2.846148]	[0.6060000000000004]
[2.93653]	[0.6080000000000004]
[6.4001894]	[0.6100000000000004]
[0.22192131]	[0.6120000000000004]
[2.3310046]	[0.6140000000000004]
[2.8423958]	[0.6160000000000004]
[2.9416249]	[0.6180000000000004]
[6.394222]	[0.6200000000000004]
[0.23030461]	[0.6220000000000004]
[2.3289387]	[0.6240000000000004]
[2.8419359]	[0.6260000000000004]
[6.383911]	[0.6280000000000004]
[0.22021315]	[0.6300000000000004]
[2.3260403]	[0.6320000000000005]
[2.8453891]	[0.6340000000000005]
[2.9362519]	[0.6360000000000005]
[6.3985634]	[0.6380000000000005]
[0.22284529]	[0.6400000000000005]
[2.3305767]	[0.6420000000000005]
[2.8414257]	[0.6440000000000005]
[2.9420884]	[0.6460000000000005]
[6.3939967]	[0.6480000000000005]
[0.23064056]	[0.6500000000000005]
[2.3269947]	[0.6520000000000005]
[2.8417928]	[0.6540000000000005]
[2.9421313]	[0.6560000000000005]
[6.389114]	[0.6580000000000005]
[0.23384054]	[0.6600000000000005]
[2.327947]	[0.6620000000000005]
[2.841313]	[0.6640000000000005]
[6.3815155]	[0.6660000000000005]
[0.2220619]	[0.6680000000000005]
[2.326006]	[0.6700000000000005]
[2.8453624]	[0.6720000000000005]
[2.9365075]	[0.6740000000000005]
[6.3964343]	[0.6760000000000005]
[0.22756505]	[0.6780000000000005]
[2.3261151]	[0.6800000000000005]
[2.841304]	[0.6820000000000005]
[2.941234]	[0.6840000000000005]
[6.3943243]	[0.6860000000000005]
[0.22910577]	[0.6880000000000005]
[2.326558]	[0.6900000000000005]
[2.8417528]	[0.6920000000000005]
[2.9411407]	[0.6940000000000005]
[6.3917775]	[0.6960000000000005]
[0.2305288]	[0.6980000000000005]
[2.3268735]	[0.7000000000000005]
[2.8417556]	[0.7020000000000005]
[6.385262]	[0.7040000000000005]
[0.21808529]	[0.7060000000000005]
[2.3252108]	[0.7080000000000005]
[2.8455176]	[0.7100000000000005]
[2.9360762]	[0.7120000000000005]
[6.4013014]	[0.7140000000000005]
[0.22356589]	[0.7160000000000005]
[2.3247397]	[0.7180000000000005]
[2.841436]	[0.7200000000000005]
[2.9412444]	[0.7220000000000005]
[6.399474]	[0.7240000000000005]
[0.22403204]	[0.7260000000000005]
[2.3254411]	[0.7280000000000005]
[2.8415623]	[0.7300000000000005]
[2.941187]	[0.7320000000000005]
[6.3978844]	[0.7340000000000005]
[0.22508523]	[0.7360000000000005]
[2.3259132]	[0.7380000000000005]
[2.8455548]	[0.7400000000000005]
[2.9367774]	[0.7420000000000005]
[6.39649]	[0.7440000000000005]
[0.22645764]	[0.7460000000000006]
[2.326078]	[0.7480000000000006]
[2.8415759]	[0.7500000000000006]
[2.9412987]	[0.7520000000000006]
[6.3948984]	[0.7540000000000006]
[0.22726735]	[0.7560000000000006]
[2.3266509]	[0.7580000000000006]
[2.8451595]	[0.7600000000000006]
[2.9371402]	[0.7620000000000006]
[6.3935513]	[0.7640000000000006]
[0.2283561]	[0.7660000000000006]
[2.3268626]	[0.7680000000000006]
[2.8449945]	[0.7700000000000006]
[2.936664]	[0.7720000000000006]
[6.392965]	[0.7740000000000006]
[0.22872522]	[0.7760000000000006]
[2.3269558]	[0.7780000000000006]
[2.841036]	[0.7800000000000006]
[6.3876348]	[0.7820000000000006]
[0.21551643]	[0.7840000000000006]
[2.3239155]	[0.7860000000000006]
[2.8455534]	[0.7880000000000006]
[2.937109]	[0.7900000000000006]
[6.4039426]	[0.7920000000000006]
[0.22079216]	[0.7940000000000006]
[2.325011]	[0.7960000000000006]
[2.8452888]	[0.7980000000000006]
[2.9367344]	[0.8000000000000006]
[6.402314]	[0.8020000000000006]
[0.22191516]	[0.8040000000000006]
[2.325405]	[0.8060000000000006]
[2.841228]	[0.8080000000000006]
[2.941146]	[0.8100000000000006]
[6.4006386]	[0.8120000000000006]
[0.22243743]	[0.8140000000000006]
[2.3258502]	[0.8160000000000006]
[2.8456082]	[0.8180000000000006]
[2.9371204]	[0.8200000000000006]
[6.3988285]	[0.8220000000000006]
[0.22414613]	[0.8240000000000006]
[2.325963]	[0.8260000000000006]
[2.845704]	[0.8280000000000006]
