[0.02961181640625]	[0.002]
[0.030064699649810792]	[0.004]
[0.03006373643875122]	[0.006]
[0.030063638687133788]	[0.008]
[0.03006361722946167]	[0.01]
[0.03006352424621582]	[0.012]
[0.030063445568084716]	[0.014]
[0.030059335231781007]	[0.016]
[0.030059256553649903]	[0.018000000000000002]
[0.030059163570404054]	[0.020000000000000004]
[0.03005905628204346]	[0.022000000000000006]
[0.03005899429321289]	[0.024000000000000007]
[0.030058937072753908]	[0.02600000000000001]
[0.030058879852294922]	[0.02800000000000001]
[0.030058739185333253]	[0.030000000000000013]
[0.030770132541656493]	[0.032000000000000015]
[0.030048103332519532]	[0.034000000000000016]
[0.030753171443939208]	[0.03600000000000002]
[0.03004786491394043]	[0.03800000000000002]
[0.03075862169265747]	[0.04000000000000002]
[0.030047659873962403]	[0.04200000000000002]
[0.030751354694366455]	[0.044000000000000025]
[0.030047800540924072]	[0.04600000000000003]
[0.0300594162940979]	[0.04800000000000003]
[0.030797126293182372]	[0.05000000000000003]
[0.030047523975372314]	[0.05200000000000003]
[0.030797350406646728]	[0.054000000000000034]
[0.03004732370376587]	[0.056000000000000036]
[0.03078684091567993]	[0.05800000000000004]
[0.03004753828048706]	[0.06000000000000004]
[0.030769431591033937]	[0.06200000000000004]
[0.030046737194061278]	[0.06400000000000004]
[0.03076742172241211]	[0.06600000000000004]
[0.03004819393157959]	[0.06800000000000005]
[0.03076211452484131]	[0.07000000000000005]
[0.030047929286956786]	[0.07200000000000005]
[0.030766189098358154]	[0.07400000000000005]
[0.03004378318786621]	[0.07600000000000005]
[0.030760412216186524]	[0.07800000000000006]
[0.030045557022094726]	[0.08000000000000006]
[0.030764002799987793]	[0.08200000000000006]
[0.030045318603515624]	[0.08400000000000006]
[0.03075618028640747]	[0.08600000000000006]
[0.030045132637023925]	[0.08800000000000006]
[0.03074782133102417]	[0.09000000000000007]
[0.030044879913330078]	[0.09200000000000007]
[0.030754456520080565]	[0.09400000000000007]
[0.030044710636138915]	[0.09600000000000007]
[0.030054984092712404]	[0.09800000000000007]
[0.03079360008239746]	[0.10000000000000007]
[0.030044410228729248]	[0.10200000000000008]
[0.030797317028045654]	[0.10400000000000008]
[0.03004589319229126]	[0.10600000000000008]
[0.030781500339508057]	[0.10800000000000008]
[0.030045738220214845]	[0.11000000000000008]
[0.03077040910720825]	[0.11200000000000009]
[0.030045533180236818]	[0.11400000000000009]
[0.030776097774505615]	[0.11600000000000009]
[0.030045254230499266]	[0.11800000000000009]
[0.03077186107635498]	[0.12000000000000009]
[0.03004502534866333]	[0.1220000000000001]
[0.030760190486907958]	[0.1240000000000001]
[0.030044808387756347]	[0.12600000000000008]
[0.03075298309326172]	[0.12800000000000009]
[0.03004495143890381]	[0.1300000000000001]
[0.030759286880493165]	[0.1320000000000001]
[0.030044732093811036]	[0.1340000000000001]
[0.030756261348724365]	[0.1360000000000001]
[0.030044512748718263]	[0.1380000000000001]
[0.030761005878448485]	[0.1400000000000001]
[0.030044288635253907]	[0.1420000000000001]
[0.03074864387512207]	[0.1440000000000001]
[0.030044100284576415]	[0.1460000000000001]
[0.030757317543029784]	[0.1480000000000001]
[0.030043861865997314]	[0.1500000000000001]
[0.030753495693206786]	[0.1520000000000001]
[0.030044751167297365]	[0.1540000000000001]
[0.030751354694366455]	[0.1560000000000001]
[0.030044517517089843]	[0.1580000000000001]
[0.030749034881591798]	[0.16000000000000011]
[0.030044374465942384]	[0.16200000000000012]
[0.03074565649032593]	[0.16400000000000012]
[0.030044496059417725]	[0.16600000000000012]
[0.030742700099945067]	[0.16800000000000012]
[0.030045955181121825]	[0.17000000000000012]
[0.03074136734008789]	[0.17200000000000013]
[0.030045719146728517]	[0.17400000000000013]
[0.030736966133117674]	[0.17600000000000013]
[0.030045490264892578]	[0.17800000000000013]
[0.03073249578475952]	[0.18000000000000013]
[0.030045278072357177]	[0.18200000000000013]
[0.030744459629058838]	[0.18400000000000014]
[0.03004505395889282]	[0.18600000000000014]
[0.030745110511779784]	[0.18800000000000014]
[0.030045180320739745]	[0.19000000000000014]
[0.030743641853332518]	[0.19200000000000014]
[0.030044968128204345]	[0.19400000000000014]
[0.030748381614685058]	[0.19600000000000015]
[0.030044820308685303]	[0.19800000000000015]
[0.030750315189361572]	[0.20000000000000015]
[0.030044598579406737]	[0.20200000000000015]
[0.03074755668640137]	[0.20400000000000015]
[0.03004432678222656]	[0.20600000000000016]
[0.03074726104736328]	[0.20800000000000016]
[0.030044076442718507]	[0.21000000000000016]
[0.03073871374130249]	[0.21200000000000016]
[0.030043976306915285]	[0.21400000000000016]
[0.03073974609375]	[0.21600000000000016]
[0.030043723583221434]	[0.21800000000000017]
[0.03074643850326538]	[0.22000000000000017]
[0.030046875476837157]	[0.22200000000000017]
[0.03074333429336548]	[0.22400000000000017]
[0.030046679973602296]	[0.22600000000000017]
[0.030744073390960695]	[0.22800000000000017]
[0.030046708583831787]	[0.23000000000000018]
[0.030742950439453125]	[0.23200000000000018]
[0.03004645586013794]	[0.23400000000000018]
[0.030746335983276366]	[0.23600000000000018]
[0.030046231746673584]	[0.23800000000000018]
[0.030746853351593016]	[0.24000000000000019]
[0.030046067237854003]	[0.2420000000000002]
[0.030746967792510987]	[0.2440000000000002]
[0.030047521591186524]	[0.2460000000000002]
[0.030745375156402587]	[0.2480000000000002]
[0.030047295093536378]	[0.25000000000000017]
[0.030745010375976562]	[0.25200000000000017]
[0.03004706382751465]	[0.25400000000000017]
[0.03074787139892578]	[0.25600000000000017]
[0.030046825408935548]	[0.2580000000000002]
[0.03074838876724243]	[0.2600000000000002]
[0.030046586990356446]	[0.2620000000000002]
[0.030744638442993164]	[0.2640000000000002]
[0.030046420097351076]	[0.2660000000000002]
[0.0307488751411438]	[0.2680000000000002]
[0.030046231746673584]	[0.2700000000000002]
[0.030749337673187258]	[0.2720000000000002]
[0.030042431354522704]	[0.2740000000000002]
[0.03074956178665161]	[0.2760000000000002]
[0.030042252540588378]	[0.2780000000000002]
[0.0307523512840271]	[0.2800000000000002]
[0.030041995048522948]	[0.2820000000000002]
[0.030753960609436037]	[0.2840000000000002]
[0.030041859149932862]	[0.2860000000000002]
[0.03075237274169922]	[0.2880000000000002]
[0.030041306018829345]	[0.2900000000000002]
[0.030749278068542482]	[0.2920000000000002]
[0.03004103422164917]	[0.2940000000000002]
[0.030746240615844727]	[0.2960000000000002]
[0.03004084587097168]	[0.2980000000000002]
[0.03074601650238037]	[0.3000000000000002]
[0.030040550231933593]	[0.3020000000000002]
[0.030750439167022706]	[0.3040000000000002]
[0.030042407512664796]	[0.3060000000000002]
[0.030746848583221437]	[0.3080000000000002]
[0.03004216432571411]	[0.3100000000000002]
[0.03074589729309082]	[0.3120000000000002]
[0.03004185199737549]	[0.3140000000000002]
[0.030747809410095216]	[0.3160000000000002]
[0.03004166841506958]	[0.3180000000000002]
[0.030749526023864746]	[0.32000000000000023]
[0.030043113231658935]	[0.32200000000000023]
[0.030751087665557862]	[0.32400000000000023]
[0.030042877197265627]	[0.32600000000000023]
[0.030750737190246583]	[0.32800000000000024]
[0.030042645931243898]	[0.33000000000000024]
[0.030757293701171876]	[0.33200000000000024]
[0.030042753219604493]	[0.33400000000000024]
[0.030749979019165038]	[0.33600000000000024]
[0.030038673877716065]	[0.33800000000000024]
[0.03074136972427368]	[0.34000000000000025]
[0.030038514137268067]	[0.34200000000000025]
[0.030749526023864746]	[0.34400000000000025]
[0.030034430027008056]	[0.34600000000000025]
[0.03074150800704956]	[0.34800000000000025]
[0.030034198760986328]	[0.35000000000000026]
[0.030752599239349365]	[0.35200000000000026]
[0.030034384727478027]	[0.35400000000000026]
[0.030740063190460205]	[0.35600000000000026]
[0.030034136772155762]	[0.35800000000000026]
