[2.961194]	[0.002]
[3.0070772]	[0.004]
[3.0062444]	[0.006]
[3.0062268]	[0.008]
[3.006212]	[0.01]
[3.0062044]	[0.012]
[3.0062003]	[0.014]
[3.006194]	[0.016]
[3.0061727]	[0.018000000000000002]
[3.0061662]	[0.020000000000000004]
[3.0061977]	[0.022000000000000006]
[3.0061862]	[0.024000000000000007]
[3.0061743]	[0.02600000000000001]
[3.0061665]	[0.02800000000000001]
[3.006153]	[0.030000000000000013]
[3.076101]	[0.032000000000000015]
[3.0049639]	[0.034000000000000016]
[3.0061195]	[0.03600000000000002]
[3.0796309]	[0.03800000000000002]
[3.004934]	[0.04000000000000002]
[3.07974]	[0.04200000000000002]
[3.0050745]	[0.044000000000000025]
[3.078363]	[0.04600000000000003]
[3.0052183]	[0.04800000000000003]
[3.0772126]	[0.05000000000000003]
[3.0051975]	[0.05200000000000003]
[3.0777545]	[0.054000000000000034]
[3.0051224]	[0.056000000000000036]
[3.0778491]	[0.05800000000000004]
[3.005138]	[0.06000000000000004]
[3.076278]	[0.06200000000000004]
[3.0051196]	[0.06400000000000004]
[3.0767202]	[0.06600000000000004]
[3.0046852]	[0.06800000000000005]
[3.0749772]	[0.07000000000000005]
[3.0046713]	[0.07200000000000005]
[3.0061076]	[0.07400000000000005]
[3.0816438]	[0.07600000000000005]
[3.0046551]	[0.07800000000000006]
[3.0799394]	[0.08000000000000006]
[3.0047977]	[0.08200000000000006]
[3.0776849]	[0.08400000000000006]
[3.0047772]	[0.08600000000000006]
[3.077617]	[0.08800000000000006]
[3.0047536]	[0.09000000000000007]
[3.0783687]	[0.09200000000000007]
[3.0047367]	[0.09400000000000007]
[3.0771906]	[0.09600000000000007]
[3.0047119]	[0.09800000000000007]
[3.076296]	[0.10000000000000007]
[3.0046923]	[0.10200000000000008]
[3.0762508]	[0.10400000000000008]
[3.0047038]	[0.10600000000000008]
[3.0757039]	[0.10800000000000008]
[3.0046744]	[0.11000000000000008]
[3.0750449]	[0.11200000000000009]
[3.0048146]	[0.11400000000000009]
[3.075388]	[0.11600000000000009]
[3.004796]	[0.11800000000000009]
[3.0057967]	[0.12000000000000009]
[3.0804613]	[0.1220000000000001]
[3.0047715]	[0.1240000000000001]
[3.0785315]	[0.12600000000000008]
[3.0047452]	[0.12800000000000009]
[3.079893]	[0.1300000000000001]
[3.004923]	[0.1320000000000001]
[3.0776896]	[0.1340000000000001]
[3.004908]	[0.1360000000000001]
[3.0765197]	[0.1380000000000001]
[3.00489]	[0.1400000000000001]
[3.0759068]	[0.1420000000000001]
[3.004864]	[0.1440000000000001]
[3.0761359]	[0.1460000000000001]
[3.004794]	[0.1480000000000001]
[3.0763922]	[0.1500000000000001]
[3.004768]	[0.1520000000000001]
[3.0756102]	[0.1540000000000001]
[3.0047448]	[0.1560000000000001]
[3.07562]	[0.1580000000000001]
[3.0047204]	[0.16000000000000011]
[3.075121]	[0.16200000000000012]
[3.004704]	[0.16400000000000012]
[3.0751104]	[0.16600000000000012]
[3.0047226]	[0.16800000000000012]
[3.0749998]	[0.17000000000000012]
[3.0047035]	[0.17200000000000013]
[3.0756397]	[0.17400000000000013]
[3.004679]	[0.17600000000000013]
[3.074237]	[0.17800000000000013]
[3.0046558]	[0.18000000000000013]
[3.0739]	[0.18200000000000013]
[3.0046332]	[0.18400000000000014]
[3.0736244]	[0.18600000000000014]
[3.004777]	[0.18800000000000014]
[3.0743845]	[0.19000000000000014]
[3.0047572]	[0.19200000000000014]
[3.073696]	[0.19400000000000014]
[3.004906]	[0.19600000000000015]
[3.0741832]	[0.19800000000000015]
[3.0048847]	[0.20000000000000015]
[3.074924]	[0.20200000000000015]
[3.0048594]	[0.20400000000000015]
[3.0747356]	[0.20600000000000016]
[3.004835]	[0.20800000000000016]
[3.074506]	[0.21000000000000016]
[3.0048492]	[0.21200000000000016]
[3.0742965]	[0.21400000000000016]
[3.0048354]	[0.21600000000000016]
[3.0743742]	[0.21800000000000017]
[3.004811]	[0.22000000000000017]
[3.0743017]	[0.22200000000000017]
[3.0047898]	[0.22400000000000017]
[3.0746045]	[0.22600000000000017]
[3.0049272]	[0.22800000000000017]
[3.0743802]	[0.23000000000000018]
[3.00491]	[0.23200000000000018]
[3.0741425]	[0.23400000000000018]
[3.0048888]	[0.23600000000000018]
[3.0741296]	[0.23800000000000018]
[3.004867]	[0.24000000000000019]
[3.0748255]	[0.2420000000000002]
[3.004841]	[0.2440000000000002]
[3.074286]	[0.2460000000000002]
[3.0048175]	[0.2480000000000002]
[3.0743673]	[0.25000000000000017]
[3.004832]	[0.25200000000000017]
[3.074373]	[0.25400000000000017]
[3.0048084]	[0.25600000000000017]
[3.0745628]	[0.2580000000000002]
[3.0047853]	[0.2600000000000002]
[3.0745888]	[0.2620000000000002]
[3.0047727]	[0.2640000000000002]
[3.0746362]	[0.2660000000000002]
[3.0047474]	[0.2680000000000002]
[3.0750127]	[0.2700000000000002]
[3.0043716]	[0.2720000000000002]
[3.074993]	[0.2740000000000002]
[3.0043488]	[0.2760000000000002]
[3.0751498]	[0.2780000000000002]
[3.0043244]	[0.2800000000000002]
[3.0743103]	[0.2820000000000002]
[3.004504]	[0.2840000000000002]
[3.0746834]	[0.2860000000000002]
[3.0044792]	[0.2880000000000002]
