[-33.87818]	[0.34800000000000025]
[37.682716]	[0.35000000000000026]
[-29.830097]	[0.35200000000000026]
[44.312]	[0.35400000000000026]
[-22.751362]	[0.35600000000000026]
[-27.768099]	[0.35800000000000026]
[21.36573]	[0.36000000000000026]
[-43.542297]	[0.36200000000000027]
[27.53768]	[0.36400000000000027]
[35.896244]	[0.36600000000000027]
[-27.485144]	[0.36800000000000027]
[36.920223]	[0.3700000000000003]
[-42.875717]	[0.3720000000000003]
[29.361544]	[0.3740000000000003]
[-32.906628]	[0.3760000000000003]
[32.71549]	[0.3780000000000003]
[-27.552326]	[0.3800000000000003]
[35.91555]	[0.3820000000000003]
[-25.714558]	[0.3840000000000003]
[36.639656]	[0.3860000000000003]
[-28.357952]	[0.3880000000000003]
[32.170933]	[0.3900000000000003]
[-30.855436]	[0.3920000000000003]
[36.66369]	[0.3940000000000003]
[-24.637663]	[0.3960000000000003]
[36.69027]	[0.3980000000000003]
[-27.365908]	[0.4000000000000003]
[35.40045]	[0.4020000000000003]
[-29.173319]	[0.4040000000000003]
[31.982922]	[0.4060000000000003]
[33.99617]	[0.4080000000000003]
[-38.844997]	[0.4100000000000003]
[38.19272]	[0.4120000000000003]
[-42.06991]	[0.4140000000000003]
[34.54299]	[0.4160000000000003]
[-20.995878]	[0.4180000000000003]
[37.462914]	[0.4200000000000003]
[-26.462639]	[0.4220000000000003]
[31.572403]	[0.4240000000000003]
[-26.750298]	[0.4260000000000003]
[34.737396]	[0.4280000000000003]
[-21.281088]	[0.4300000000000003]
[38.74574]	[0.43200000000000033]
[-29.294485]	[0.43400000000000033]
[34.51614]	[0.43600000000000033]
[-41.448765]	[0.43800000000000033]
[36.12741]	[0.44000000000000034]
[33.1251]	[0.44200000000000034]
[-29.832832]	[0.44400000000000034]
[28.007694]	[0.44600000000000034]
[-41.608147]	[0.44800000000000034]
[40.40563]	[0.45000000000000034]
[-21.546686]	[0.45200000000000035]
[30.143547]	[0.45400000000000035]
[34.14245]	[0.45600000000000035]
[-26.790506]	[0.45800000000000035]
[42.267017]	[0.46000000000000035]
[-20.152914]	[0.46200000000000035]
[28.731087]	[0.46400000000000036]
[-42.330513]	[0.46600000000000036]
[44.785362]	[0.46800000000000036]
[-21.085846]	[0.47000000000000036]
[28.99486]	[0.47200000000000036]
[-22.008978]	[0.47400000000000037]
[32.078667]	[0.47600000000000037]
[-21.923105]	[0.47800000000000037]
[45.019688]	[0.48000000000000037]
[-20.702139]	[0.4820000000000004]
[28.916338]	[0.4840000000000004]
[-19.487593]	[0.4860000000000004]
[18.95471]	[0.4880000000000004]
[-41.09179]	[0.4900000000000004]
[32.044865]	[0.4920000000000004]
[26.14641]	[0.4940000000000004]
[18.471516]	[0.4960000000000004]
[21.76563]	[0.4980000000000004]
[20.729868]	[0.5000000000000003]
[8.859247]	[0.5020000000000003]
[30.205194]	[0.5040000000000003]
[-22.063349]	[0.5060000000000003]
[40.379875]	[0.5080000000000003]
[-33.974552]	[0.5100000000000003]
[10.086353]	[0.5120000000000003]
[34.21343]	[0.5140000000000003]
[-21.334919]	[0.5160000000000003]
[30.654003]	[0.5180000000000003]
[-21.622559]	[0.5200000000000004]
[-41.08155]	[0.5220000000000004]
[10.879132]	[0.5240000000000004]
[33.248222]	[0.5260000000000004]
[33.49177]	[0.5280000000000004]
[-21.851818]	[0.5300000000000004]
[25.382387]	[0.5320000000000004]
[-22.429148]	[0.5340000000000004]
[30.471981]	[0.5360000000000004]
[-25.786373]	[0.5380000000000004]
[11.913988]	[0.5400000000000004]
[34.413284]	[0.5420000000000004]
[-21.743422]	[0.5440000000000004]
[38.60852]	[0.5460000000000004]
[-21.748281]	[0.5480000000000004]
[25.351568]	[0.5500000000000004]
[-21.755348]	[0.5520000000000004]
[25.817171]	[0.5540000000000004]
[-22.554012]	[0.5560000000000004]
[22.265741]	[0.5580000000000004]
[-21.890486]	[0.5600000000000004]
[24.29405]	[0.5620000000000004]
[28.933716]	[0.5640000000000004]
[-29.06459]	[0.5660000000000004]
[10.153016]	[0.5680000000000004]
[26.727924]	[0.5700000000000004]
[34.361206]	[0.5720000000000004]
[-21.900045]	[0.5740000000000004]
[25.32711]	[0.5760000000000004]
[-26.027674]	[0.5780000000000004]
[25.487932]	[0.5800000000000004]
[-22.435251]	[0.5820000000000004]
[20.855099]	[0.5840000000000004]
[23.178038]	[0.5860000000000004]
[27.010183]	[0.5880000000000004]
[-21.813507]	[0.5900000000000004]
[26.49297]	[0.5920000000000004]
[-22.168175]	[0.5940000000000004]
[26.10769]	[0.5960000000000004]
[25.901045]	[0.5980000000000004]
[22.478886]	[0.6000000000000004]
[-28.258072]	[0.6020000000000004]
[8.3976]	[0.6040000000000004]
[39.27577]	[0.6060000000000004]
[20.824772]	[0.6080000000000004]
[23.298115]	[0.6100000000000004]
[26.797132]	[0.6120000000000004]
[24.61944]	[0.6140000000000004]
[24.454939]	[0.6160000000000004]
[21.90572]	[0.6180000000000004]
[23.921919]	[0.6200000000000004]
[-22.701763]	[0.6220000000000004]
[22.93875]	[0.6240000000000004]
[24.433914]	[0.6260000000000004]
[-31.824652]	[0.6280000000000004]
[18.617844]	[0.6300000000000004]
[22.556807]	[0.6320000000000005]
[-21.590406]	[0.6340000000000005]
[25.062561]	[0.6360000000000005]
[-27.075193]	[0.6380000000000005]
[21.519949]	[0.6400000000000005]
[24.474194]	[0.6420000000000005]
[-22.55191]	[0.6440000000000005]
[21.233398]	[0.6460000000000005]
[25.87449]	[0.6480000000000005]
[-24.944107]	[0.6500000000000005]
[19.850744]	[0.6520000000000005]
[-24.494446]	[0.6540000000000005]
[13.85932]	[0.6560000000000005]
[23.449251]	[0.6580000000000005]
[-22.823029]	[0.6600000000000005]
[21.759695]	[0.6620000000000005]
[24.826994]	[0.6640000000000005]
[-22.674715]	[0.6660000000000005]
[21.172968]	[0.6680000000000005]
[-38.120155]	[0.6700000000000005]
[17.764639]	[0.6720000000000005]
[15.996]	[0.6740000000000005]
[21.743568]	[0.6760000000000005]
[32.307457]	[0.6780000000000005]
[-38.39385]	[0.6800000000000005]
[7.150941]	[0.6820000000000005]
[17.007835]	[0.6840000000000005]
[10.098746]	[0.6860000000000005]
[9.103384]	[0.6880000000000005]
[11.488885]	[0.6900000000000005]
[16.682226]	[0.6920000000000005]
[11.911423]	[0.6940000000000005]
[15.587185]	[0.6960000000000005]
[16.199375]	[0.6980000000000005]
[16.625534]	[0.7000000000000005]
