[[-0.011585522307608696, -0.02616289539797411, 0.01267406889703302, -0.006758703607744428, -0.002560740813566579, -0.032112201687544056]]	[[0.10049798889102399, -0.49973787278157633, 0.26445169920216, 1.2098864752948695, -2.898987514279203, -0.00027936266979568307]]
[[0.1589209024852531, -0.1683055408082722, 0.1483109929416551, -0.01173307564557154, -0.0036280709604609843, -0.03985348785645167]]	[[0.10048168219143004, -0.4997604284754585, 0.26443839974862854, 1.2098638304683758, -2.899029760014474, -0.00022347678207485614]]
[[0.055359469666047094, -0.21282351646592576, 0.2867036665680655, -0.010370244112646603, -0.004254710409207118, -0.034398348390782846]]	[[0.10046926913494776, -0.4997626362619916, 0.2644431632069726, 1.2097158741274183, -2.89905820655579, -0.0001885290185006277]]
[[-0.0824287960020369, -0.1348210884882429, 0.046260448933004746, -0.006984473743165616, -0.0036055166772555004, -0.034028297314422445]]	[[0.10049462573708189, -0.49972857656070857, 0.2643840335459472, 1.2099577569266184, -2.8990168030197645, -0.000336345454408984]]
[[-0.04869480259678386, -0.03637149695352813, 0.18454220119117762, -0.005056230198017235, -0.0062376388843033365, -0.0367241661602832]]	[[0.10047133989168235, -0.4997454988691259, 0.2643920199210597, 1.209761732834091, -2.899071222497755, -0.00018684898302431246]]
[[-0.08198096582192234, -0.3295783838983562, 0.08948024146486508, -0.01117583735306209, 0.0005378470330924599, -0.034427300654464824]]	[[0.10046685489305995, -0.49973009248979433, 0.26432930732198534, 1.209866938788064, -2.8990387652235627, -0.0003252881561998234]]
[[-0.010952817657882136, -0.1560622959088956, -0.0023267846071880543, -0.012410569899889187, -0.004061134057001841, -0.03368460475075747]]	[[0.10050894334366563, -0.49974655555250197, 0.26430982947995046, 1.209855801196487, -2.8990332384910347, -0.00033049383757937246]]
[[-0.19900462417856624, -0.11089373506552938, 0.18727237349014125, -0.007009627313244917, 0.0016911494741171376, -0.03771881516410796]]	[[0.10051009105347533, -0.4997452018485301, 0.26429491768286817, 1.2099002266846695, -2.899016008856863, -0.00024316891475977768]]
[[-0.10143647459778025, -0.20164614103012582, 0.04726776998146944, -0.01131638726671618, -0.0011230611843215284, -0.0367390329999893]]	[[0.1004553339534214, -0.4997628864239038, 0.26427772016022466, 1.2096779680229937, -2.8991186097967594, -0.0002069551539852449]]
[[-0.295928634220916, -0.010130015867874525, 0.08460307443557169, -0.005155566360025664, 0.002350263351404797, -0.03600364235312352]]	[[0.1005069694839023, -0.49972625678909194, 0.2642251194719354, 1.2098581841423053, -2.8990775286983426, -0.0003599633660631147]]
[[0.05076452433055428, -0.10198470997251047, 0.08690059114012959, -0.014346878462120643, -0.0060688210357170745, -0.03753099543067978]]	[[0.10046425598364203, -0.4997433094111684, 0.2642210484330691, 1.2097825880416178, -2.8990957465459766, -0.00025327135455467767]]
[[-0.05867072082810499, 0.0061189814421082015, 0.1388639053666376, -0.01064916405801173, -0.004678821517785098, -0.03337841816771586]]	[[0.10049604287327948, -0.49974411381787776, 0.2641936999756486, 1.2098267125962305, -2.899043852852151, -0.0003103120303768462]]
[[0.2377824757218411, -0.14264776775289348, 0.04673568681229075, -0.014660615680200946, -0.010641990239217521, -0.037737157281746314]]	[[0.10051162854454833, -0.499729887625925, 0.2641506272272087, 1.2099258078567963, -2.899008240274532, -0.0003612279809139042]]
[[0.14030466677178016, -0.1098813958945637, -0.019461635266198964, -0.013817943630261637, -0.006904777867054895, -0.0363357237933437]]	[[0.10049533958401645, -0.4997491958014168, 0.2641425319120506, 1.2097319001422044, -2.8990988354231244, -0.0002634172182134377]]
[[-0.09008078582283387, 0.12736544898106558, 0.16208005088685662, -0.005758838271734336, -0.0033306141948390836, -0.037044677308694034]]	[[0.1005039075127616, -0.49972552324988756, 0.26412794111813526, 1.2099617564623295, -2.8990543639431983, -0.0003204003637490987]]
[[-0.04865655746446265, -0.052604675401163176, 0.03952764653510921, -0.005324852534365507, -0.0012233987111674837, -0.03863173226230434]]	[[0.10050252652700753, -0.49974467396342487, 0.2640822695961613, 1.2098131314743636, -2.899099621903735, -0.00030375545050485045]]
[[0.0468854467153796, -0.12466313084757781, 0.09692885686355862, -0.010302096561551476, -0.0035214822145450474, -0.0368482946240419]]	[[0.10048081627587552, -0.49975258034272, 0.26404960185121884, 1.2098317786812631, -2.899083788644455, -0.0003714267244517554]]
[[-0.087244585489773, -0.15901920161071914, 0.03736380717609559, -0.010576434844824869, 0.0017106390321419255, -0.034922163584319973]]	[[0.1004589388822989, -0.49974373558678675, 0.2640212311190286, 1.2097167025140825, -2.8991081381676786, -0.00031449967079711196]]
[[-0.08346960946927817, -0.12609264902008635, -0.0318324229248957, -0.007528203548609068, -0.002682074817640373, -0.03569201748913795]]	[[0.10052275799887721, -0.49974453075128555, 0.26400131192418164, 1.2099523246368555, -2.8990652611875083, -0.00028847945234824725]]
[[0.08548854116393402, 0.01533589306540742, 0.06746438863087431, -0.003874255241159519, -0.000815409094613435, -0.03670565023900345]]	[[0.10052054139130412, -0.4997514781822791, 0.26401352836030506, 1.209852508871972, -2.89905552942425, -0.00023066321173803773]]
[[-0.015303312983948002, -0.09649810300439898, -0.06885249548566007, -0.005447965086891556, -0.002697077937780017, -0.036603940350341445]]	[[0.10048577326295963, -0.49973729819060075, 0.2639752817319956, 1.2098809226069096, -2.8990082674602604, -0.0002916743425721877]]
[[0.15243961000178646, -0.30087543990039955, -0.07214065625907734, -0.010287452551010974, -0.008301462156990439, -0.03322799509736901]]	[[0.10047151560462216, -0.4997255465848014, 0.2639229415070658, 1.2097464050483169, -2.899062482293199, -0.0003839521555874988]]
[[-0.06387166379203134, 0.007177995931175701, -0.033164596672084976, -0.005434245115248205, -0.0013435465748979924, -0.036228515360316495]]	[[0.10048206155207681, -0.499741996790146, 0.26392866601061815, 1.2097358230911004, -2.8990436478543127, -0.0001973774301342479]]
[[-0.06997654770614649, -0.13555448138073242, 0.0007604044059439483, -0.008691180583892526, 0.0006667341494748737, -0.03348719800607464]]	[[0.10049273167728036, -0.49972735578760213, 0.26386544431460784, 1.2098832205420562, -2.8990485224571163, -0.00039116179137670587]]
[[0.042007587585850034, -0.09135494027406509, 0.13235272192388264, -0.007768370845661834, -0.006094517250649853, -0.03409576127638932]]	[[0.10046962500840378, -0.4997450088389173, 0.26386718281728117, 1.209711721083172, -2.8991266089741794, -0.0002561154709963324]]
[[-0.0482759601002428, -0.24966627002096403, 0.05830312210292699, -0.00837939147401533, -0.0013513893286676223, -0.03523657487341349]]	[[0.10047019413669392, -0.49973671766249095, 0.26382108082384664, 1.209757667968831, -2.8990541223406017, -0.00041991102406221183]]
[[0.007006669407686358, -0.05476365175719063, 0.22293325377433154, -0.0049850343222892736, -0.006876296090860783, -0.033613622070243813]]	[[0.10048847193794937, -0.4997519605484102, 0.26383233544430174, 1.2098647990877822, -2.8989847170535206, -0.00020397204251874088]]
[[-0.13407780138458228, -0.019943943758142416, 0.03402145252102176, -0.007394974503487546, -0.0023562619173052393, -0.032837193154116366]]	[[0.1004867471763573, -0.49973561857523335, 0.2637950772296105, 1.2098738122782502, -2.8990373619367644, -0.0003395537192924421]]
[[-0.11241573390386483, -0.001264617349640729, 0.07308668924453081, -0.009713085897107898, 0.001641244300306009, -0.03796971677053098]]	[[0.10049824093941527, -0.4997339961219465, 0.26375796395991447, 1.2098538899288582, -2.8990756506282738, -0.0002877261414174343]]
[[-0.16259832469623303, -0.09525407005424415, 0.023627415398005756, -0.005489809533023621, 0.0019994207071775214, -0.03742463441973287]]	[[0.10048394994802994, -0.49975177904299734, 0.2637538337090398, 1.209763117018697, -2.8990993059993304, -0.0002848585260567126]]
[[-0.03753806118848056, -0.20174350649737785, 0.09872849565415423, -0.011306630329764476, -0.004443227677383476, -0.03490437882444652]]	[[0.10049391466592301, -0.49974826552595913, 0.263735590428272, 1.2098558777809574, -2.8990113589570194, -0.00021478775138912773]]
[[-0.14796876132383938, -0.13192507115296404, 0.030734260658069525, -0.010444495319060032, 0.0023656275725838114, -0.034751727207034934]]	[[0.10049553718287353, -0.49975591805744896, 0.26370595775676076, 1.2099202913797846, -2.8989975415393814, -0.00019343595253538113]]
[[-0.04828550204917706, -0.03510032763896546, -0.002364082970279817, -0.01017646725831522, -0.001149459912857584, -0.0370497449265399]]	[[0.10052096022900246, -0.49973525582827716, 0.2636847664888454, 1.209874548915776, -2.8990894994078293, -0.0002119726592734158]]
[[-0.06646745161704765, -0.029997005009953667, 0.135819720742388, -0.012257599848209014, -0.006735726315782482, -0.03464593378014286]]	[[0.10050027350425073, -0.49974565087220746, 0.2636412509116623, 1.2098916686612888, -2.898996383879261, -0.00032523439553089583]]
[[-0.25259908846334306, 0.06915007310412219, 0.08657183192500925, -0.009370688583290702, 0.00026171684941313255, -0.03507627114972889]]	[[0.1004988334169505, -0.49972200589518173, 0.26360895907154774, 1.2098713738309155, -2.8990598504721086, -0.00037973593847801776]]
[[-0.029510147916991813, -0.17919352299532698, 0.2575433942322476, -0.015537253624465766, -0.004116781741626442, -0.035863170165338444]]	[[0.1004709266090689, -0.4997462524054687, 0.26359710485928145, 1.2097761089153956, -2.899057897672283, -0.00024980165777057793]]
[[-0.26016144783187833, 0.0465205644931114, 0.2687077162585735, -0.007029781716873615, 0.0031301011116729345, -0.03513449003924579]]	[[0.10050192791247604, -0.49974350158188174, 0.2635798066381707, 1.2098579582428772, -2.899012743942063, -0.00028031982357748313]]
[[-0.004740302880259324, -0.09054140238228572, 0.15768468239236522, -0.006453550125098595, -0.0003861720718159013, -0.03299336968441921]]	[[0.100473387846988, -0.4997558422587228, 0.26356857638282016, 1.2097624883103564, -2.899117482809024, -0.00020852730891684294]]
[[-0.028623867582930524, -0.23584299308329637, 0.278503881548328, -0.006190750170515986, -0.0003125062738155655, -0.03803676008154782]]	[[0.10049852845333312, -0.49974581351695124, 0.2635364440571641, 1.2097378034449608, -2.8991117869801104, -0.0001937786006572091]]
